84 132
228 272
1985 12 23
1985 12 24
1985 12 25
1985 12 26
1985 12 27
1985 12 28
1985 12 29
1985 12 30
1985 12 31
1986 1 1
1986 1 2
1986 1 3
1986 1 4
1986 1 5
1986 1 6
1986 1 7
1986 1 8
1986 1 9
1986 1 10
1986 1 11
1986 1 12
1986 1 13
1986 1 14
1986 1 15
1986 1 16
1986 1 17
1986 1 18
1986 1 19
1986 1 20
1986 1 21
1986 1 22
1986 1 23
1986 1 24
1986 1 25
1986 1 26
1986 1 27
1986 1 28
1986 1 29
1986 1 30
1986 1 31
1986 2 1
1986 2 2
1986 2 3
1986 2 4
1986 2 5
1986 2 6
1986 2 7
1986 2 8
1986 2 9
1986 2 10
1986 2 11
1986 2 12
1986 2 13
1986 2 14
1986 2 15
1986 2 16
1986 2 17
1986 2 18
1986 2 19
1986 2 20
1986 2 21
1986 2 22
1986 2 23
1986 2 24
1986 2 25
1986 2 26
1986 2 27
1986 2 28
1986 12 1
1986 12 2
1986 12 3
1986 12 4
1986 12 5
1986 12 6
1986 12 7
1986 12 8
1986 12 9
1986 12 10
1986 12 11
1986 12 12
1986 12 13
1986 12 14
1986 12 15
1986 12 16
1986 12 17
1986 12 18
1986 12 19
1986 12 20
1986 12 21
1986 12 22
1986 12 23
1986 12 24
1986 12 25
1986 12 26
1986 12 27
1986 12 28
1986 12 29
1986 12 30
1986 12 31
1987 1 1
1987 1 2
1987 1 3
1987 1 4
1987 1 5
1987 1 6
1987 1 7
1987 1 8
1987 1 9
1987 1 10
1987 1 11
1987 1 12
1987 1 13
1987 1 14
1987 1 15
1987 1 16
1987 1 17
1987 1 18
1987 1 19
1987 1 20
1987 1 21
1987 1 22
1987 1 23
1987 1 24
1987 1 25
1987 1 26
1987 1 27
1987 1 28
1987 1 29
1987 1 30
1987 1 31
1987 2 1
1987 2 2
1987 2 3
1987 2 4
1987 2 5
1987 2 6
1987 2 7
1987 2 8
1987 2 9
1987 2 10
1987 2 11
1987 2 12
1987 2 13
1987 2 14
1987 2 15
1987 2 16
1987 2 17
1987 2 18
1987 2 19
1987 2 20
1987 2 21
1987 2 22
1987 2 23
1987 2 24
1987 2 25
1987 2 26
1987 2 27
1987 2 28
1987 12 1
1987 12 2
1987 12 3
1987 12 4
1987 12 5
1987 12 6
1987 12 7
1987 12 8
1987 12 9
1987 12 10
1987 12 11
1987 12 12
1987 12 13
1987 12 14
1987 12 15
1987 12 16
1987 12 17
1987 12 18
1987 12 19
1987 12 20
1987 12 21
1987 12 22
1987 12 23
1987 12 24
1987 12 25
1987 12 26
1987 12 27
1987 12 28
1987 12 29
1987 12 30
1987 12 31
1988 1 1
1988 1 2
1988 1 3
1988 1 4
1988 1 5
1988 1 6
1988 1 7
1988 1 8
1988 1 9
1988 1 10
1988 1 11
1988 1 12
1988 1 13
1988 1 14
1988 1 15
1988 1 16
1988 1 17
1988 1 18
1988 1 19
1988 1 20
1988 1 21
1988 1 22
1988 1 23
1988 1 24
1988 1 25
1988 1 26
1988 1 27
1988 1 28
1988 1 29
1988 1 30
1988 1 31
1988 2 1
1988 2 2
1988 2 3
1988 2 4
1988 2 5
1988 2 6
1988 2 7
1988 2 8
1988 2 9
1988 2 10
1988 2 11
1988 2 12
1988 2 13
1988 2 14
1988 2 15
1988 2 16
1988 2 17
1988 2 18
1988 2 19
1988 2 20
1988 2 21
1988 2 22
1988 2 23
1988 2 24
1988 2 25
1988 2 26
1988 2 27
1988 2 28
1988 12 1
1988 12 2
1988 12 3
1988 12 4
1988 12 5
1988 12 6
1988 12 7
1988 12 8
1988 12 9
1988 12 10
1988 12 11
1988 12 12
1988 12 13
1988 12 14
1988 12 15
1988 12 16
1988 12 17
1988 12 18
1988 12 19
1988 12 20
1988 12 21
1988 12 22
1988 12 23
1988 12 24
1988 12 25
1988 12 26
1988 12 27
1988 12 28
1988 12 29
1988 12 30
1988 12 31
1989 1 1
1989 1 2
1989 1 3
1989 1 4
1989 1 5
1989 1 6
1989 1 7
1989 1 8
1989 1 9
1989 1 10
1989 1 11
1989 1 12
1989 1 13
1989 1 14
1989 1 15
1989 1 16
1989 1 17
1989 1 18
1989 1 19
1989 1 20
1989 1 21
1989 1 22
1989 1 23
1989 1 24
1989 1 25
1989 1 26
1989 1 27
1989 1 28
1989 1 29
1989 1 30
1989 1 31
1989 2 1
1989 2 2
1989 2 3
1989 2 4
1989 2 5
1989 2 6
1989 2 7
1989 2 8
1989 2 9
1989 2 10
1989 2 11
1989 2 12
1989 2 13
1989 2 14
1989 2 15
1989 2 16
1989 2 17
1989 2 18
1989 2 19
1989 2 20
1989 2 21
1989 2 22
1989 2 23
1989 2 24
1989 2 25
1989 2 26
1989 2 27
1989 2 28
1989 12 1
1989 12 2
1989 12 3
1989 12 4
1989 12 5
1989 12 6
1989 12 7
1989 12 8
1989 12 9
1989 12 10
1989 12 11
1989 12 12
1989 12 13
1989 12 14
1989 12 15
1989 12 16
1989 12 17
1989 12 18
1989 12 19
1989 12 20
1989 12 21
1989 12 22
1989 12 23
1989 12 24
1989 12 25
1989 12 26
1989 12 27
1989 12 28
1989 12 29
1989 12 30
1989 12 31
1990 1 1
1990 1 2
1990 1 3
1990 1 4
1990 1 5
1990 1 6
1990 1 7
1990 1 8
1990 1 9
1990 1 10
1990 1 11
1990 1 12
1990 1 13
1990 1 14
1990 1 15
1990 1 16
1990 1 17
1990 1 18
1990 1 19
1990 1 20
1990 1 21
1990 1 22
1990 1 23
1990 1 24
1990 1 25
1990 1 26
1990 1 27
1990 1 28
1990 1 29
1990 1 30
1990 1 31
1990 2 1
1990 2 2
1990 2 3
1990 2 4
1990 2 5
1990 2 6
1990 2 7
1990 2 8
1990 2 9
1990 2 10
1990 2 11
1990 2 12
1990 2 13
1990 2 14
1990 2 15
1990 2 16
1990 2 17
1990 2 18
1990 2 19
1990 2 20
1990 2 21
1990 2 22
1990 2 23
1990 2 24
1990 2 25
1990 2 26
1990 2 27
1990 2 28
1990 12 1
1990 12 2
1990 12 3
1990 12 4
1990 12 5
1990 12 6
1990 12 7
1990 12 8
1990 12 9
1990 12 10
1990 12 11
1990 12 12
1990 12 13
1990 12 14
1990 12 15
1990 12 16
1990 12 17
1990 12 18
1990 12 19
1990 12 20
1990 12 21
1990 12 22
1990 12 23
1990 12 24
1990 12 25
1990 12 26
1990 12 27
1990 12 28
1990 12 29
1990 12 30
1990 12 31
1991 1 1
1991 1 2
1991 1 3
1991 1 4
1991 1 5
1991 1 6
1991 1 7
1991 1 8
1991 1 9
1991 1 10
1991 1 11
1991 1 12
1991 1 13
1991 1 14
1991 1 15
1991 1 16
1991 1 17
1991 1 18
1991 1 19
1991 1 20
1991 1 21
1991 1 22
1991 1 23
1991 1 24
1991 1 25
1991 1 26
1991 1 27
1991 1 28
1991 1 29
1991 1 30
1991 1 31
1991 2 1
1991 2 2
1991 2 3
1991 2 4
1991 2 5
1991 2 6
1991 2 7
1991 2 8
1991 2 9
1991 2 10
1991 2 11
1991 2 12
1991 2 13
1991 2 14
1991 2 15
1991 2 16
1991 2 17
1991 2 18
1991 2 19
1991 2 20
1991 2 21
1991 2 22
1991 2 23
1991 2 24
1991 2 25
1991 2 26
1991 2 27
1991 2 28
1991 12 1
1991 12 2
1991 12 3
1991 12 4
1991 12 5
1991 12 6
1991 12 7
1991 12 8
1991 12 9
1991 12 10
1991 12 11
1991 12 12
1991 12 13
1991 12 14
1991 12 15
1991 12 16
1991 12 17
1991 12 18
1991 12 19
1991 12 20
1991 12 21
1991 12 22
1991 12 23
1991 12 24
1991 12 25
1991 12 26
1991 12 27
1991 12 28
1991 12 29
1991 12 30
1991 12 31
1992 1 1
1992 1 2
1992 1 3
1992 1 4
1992 1 5
1992 1 6
1992 1 7
1992 1 8
1992 1 9
1992 1 10
1992 1 11
1992 1 12
1992 1 13
1992 1 14
1992 1 15
1992 1 16
1992 1 17
1992 1 18
1992 1 19
1992 1 20
1992 1 21
1992 1 22
1992 1 23
1992 1 24
1992 1 25
1992 1 26
1992 1 27
1992 1 28
1992 1 29
1992 1 30
1992 1 31
1992 2 1
1992 2 2
1992 2 3
1992 2 4
1992 2 5
1992 2 6
1992 2 7
1992 2 8
1992 2 9
1992 2 10
1992 2 11
1992 2 12
1992 2 13
1992 2 14
1992 2 15
1992 2 16
1992 2 17
1992 2 18
1992 2 19
1992 2 20
1992 2 21
1992 2 22
1992 2 23
1992 2 24
1992 2 25
1992 2 26
1992 2 27
1992 2 28
1992 12 1
1992 12 2
1992 12 3
1992 12 4
1992 12 5
1992 12 6
1992 12 7
1992 12 8
1992 12 9
1992 12 10
1992 12 11
1992 12 12
1992 12 13
1992 12 14
1992 12 15
1992 12 16
1992 12 17
1992 12 18
1992 12 19
1992 12 20
1992 12 21
1992 12 22
1992 12 23
1992 12 24
1992 12 25
1992 12 26
1992 12 27
1992 12 28
1992 12 29
1992 12 30
1992 12 31
1993 1 1
1993 1 2
1993 1 3
1993 1 4
1993 1 5
1993 1 6
1993 1 7
1993 1 8
1993 1 9
1993 1 10
1993 1 11
1993 1 12
1993 1 13
1993 1 14
1993 1 15
1993 1 16
1993 1 17
1993 1 18
1993 1 19
1993 1 20
1993 1 21
1993 1 22
1993 1 23
1993 1 24
1993 1 25
1993 1 26
1993 1 27
1993 1 28
1993 1 29
1993 1 30
1993 1 31
1993 2 1
1993 2 2
1993 2 3
1993 2 4
1993 2 5
1993 2 6
1993 2 7
1993 2 8
1993 2 9
1993 2 10
1993 2 11
1993 2 12
1993 2 13
1993 2 14
1993 2 15
1993 2 16
1993 2 17
1993 2 18
1993 2 19
1993 2 20
1993 2 21
1993 2 22
1993 2 23
1993 2 24
1993 2 25
1993 2 26
1993 2 27
1993 2 28
1993 12 1
1993 12 2
1993 12 3
1993 12 4
1993 12 5
1993 12 6
1993 12 7
1993 12 8
1993 12 9
1993 12 10
1993 12 11
1993 12 12
1993 12 13
1993 12 14
1993 12 15
1993 12 16
1993 12 17
1993 12 18
1993 12 19
1993 12 20
1993 12 21
1993 12 22
1993 12 23
1993 12 24
1993 12 25
1993 12 26
1993 12 27
1993 12 28
1993 12 29
1993 12 30
1993 12 31
1994 1 1
1994 1 2
1994 1 3
1994 1 4
1994 1 5
1994 1 6
1994 1 7
1994 1 8
1994 1 9
1994 1 10
1994 1 11
1994 1 12
1994 1 13
1994 1 14
1994 1 15
1994 1 16
1994 1 17
1994 1 18
1994 1 19
1994 1 20
1994 1 21
1994 1 22
1994 1 23
1994 1 24
1994 1 25
1994 1 26
1994 1 27
1994 1 28
1994 1 29
1994 1 30
1994 1 31
1994 2 1
1994 2 2
1994 2 3
1994 2 4
1994 2 5
1994 2 6
1994 2 7
1994 2 8
1994 2 9
1994 2 10
1994 2 11
1994 2 12
1994 2 13
1994 2 14
1994 2 15
1994 2 16
1994 2 17
1994 2 18
1994 2 19
1994 2 20
1994 2 21
1994 2 22
1994 2 23
1994 2 24
1994 2 25
1994 2 26
1994 2 27
1994 2 28
1994 12 1
1994 12 2
1994 12 3
1994 12 4
1994 12 5
1994 12 6
1994 12 7
1994 12 8
1994 12 9
1994 12 10
1994 12 11
1994 12 12
1994 12 13
1994 12 14
1994 12 15
1994 12 16
1994 12 17
1994 12 18
1994 12 19
1994 12 20
1994 12 21
1994 12 22
1994 12 23
1994 12 24
1994 12 25
1994 12 26
1994 12 27
1994 12 28
1994 12 29
1994 12 30
1994 12 31
1995 1 1
1995 1 2
1995 1 3
1995 1 4
1995 1 5
1995 1 6
1995 1 7
1995 1 8
1995 1 9
1995 1 10
1995 1 11
1995 1 12
1995 1 13
1995 1 14
1995 1 15
1995 1 16
1995 1 17
1995 1 18
1995 1 19
1995 1 20
1995 1 21
1995 1 22
1995 1 23
1995 1 24
1995 1 25
1995 1 26
1995 1 27
1995 1 28
1995 1 29
1995 1 30
1995 1 31
1995 2 1
1995 2 2
1995 2 3
1995 2 4
1995 2 5
1995 2 6
1995 2 7
1995 2 8
1995 2 9
1995 2 10
1995 2 11
1995 2 12
1995 2 13
1995 2 14
1995 2 15
1995 2 16
1995 2 17
1995 2 18
1995 2 19
1995 2 20
1995 2 21
1995 2 22
1995 2 23
1995 2 24
1995 2 25
1995 2 26
1995 2 27
1995 2 28
1995 12 1
1995 12 2
1995 12 3
1995 12 4
1995 12 5
1995 12 6
1995 12 7
1995 12 8
1995 12 9
1995 12 10
1995 12 11
1995 12 12
1995 12 13
1995 12 14
1995 12 15
1995 12 16
1995 12 17
1995 12 18
1995 12 19
1995 12 20
1995 12 21
1995 12 22
1995 12 23
1995 12 24
1995 12 25
1995 12 26
1995 12 27
1995 12 28
1995 12 29
1995 12 30
1995 12 31
1996 1 1
1996 1 2
1996 1 3
1996 1 4
1996 1 5
1996 1 6
1996 1 7
1996 1 8
1996 1 9
1996 1 10
1996 1 11
1996 1 12
1996 1 13
1996 1 14
1996 1 15
1996 1 16
1996 1 17
1996 1 18
1996 1 19
1996 1 20
1996 1 21
1996 1 22
1996 1 23
1996 1 24
1996 1 25
1996 1 26
1996 1 27
1996 1 28
1996 1 29
1996 1 30
1996 1 31
1996 2 1
1996 2 2
1996 2 3
1996 2 4
1996 2 5
1996 2 6
1996 2 7
1996 2 8
1996 2 9
1996 2 10
1996 2 11
1996 2 12
1996 2 13
1996 2 14
1996 2 15
1996 2 16
1996 2 17
1996 2 18
1996 2 19
1996 2 20
1996 2 21
1996 2 22
1996 2 23
1996 2 24
1996 2 25
1996 2 26
1996 2 27
1996 2 28
1996 12 1
1996 12 2
1996 12 3
1996 12 4
1996 12 5
1996 12 6
1996 12 7
1996 12 8
1996 12 9
1996 12 10
1996 12 11
1996 12 12
1996 12 13
1996 12 14
1996 12 15
1996 12 16
1996 12 17
1996 12 18
1996 12 19
1996 12 20
1996 12 21
1996 12 22
1996 12 23
1996 12 24
1996 12 25
1996 12 26
1996 12 27
1996 12 28
1996 12 29
1996 12 30
1996 12 31
1997 1 1
1997 1 2
1997 1 3
1997 1 4
1997 1 5
1997 1 6
1997 1 7
1997 1 8
1997 1 9
1997 1 10
1997 1 11
1997 1 12
1997 1 13
1997 1 14
1997 1 15
1997 1 16
1997 1 17
1997 1 18
1997 1 19
1997 1 20
1997 1 21
1997 1 22
1997 1 23
1997 1 24
1997 1 25
1997 1 26
1997 1 27
1997 1 28
1997 1 29
1997 1 30
1997 1 31
1997 2 1
1997 2 2
1997 2 3
1997 2 4
1997 2 5
1997 2 6
1997 2 7
1997 2 8
1997 2 9
1997 2 10
1997 2 11
1997 2 12
1997 2 13
1997 2 14
1997 2 15
1997 2 16
1997 2 17
1997 2 18
1997 2 19
1997 2 20
1997 2 21
1997 2 22
1997 2 23
1997 2 24
1997 2 25
1997 2 26
1997 2 27
1997 2 28
1997 12 1
1997 12 2
1997 12 3
1997 12 4
1997 12 5
1997 12 6
1997 12 7
1997 12 8
1997 12 9
1997 12 10
1997 12 11
1997 12 12
1997 12 13
1997 12 14
1997 12 15
1997 12 16
1997 12 17
1997 12 18
1997 12 19
1997 12 20
1997 12 21
1997 12 22
1997 12 23
1997 12 24
1997 12 25
1997 12 26
1997 12 27
1997 12 28
1997 12 29
1997 12 30
1997 12 31
1998 1 1
1998 1 2
1998 1 3
1998 1 4
1998 1 5
1998 1 6
1998 1 7
1998 1 8
1998 1 9
1998 1 10
1998 1 11
1998 1 12
1998 1 13
1998 1 14
1998 1 15
1998 1 16
1998 1 17
1998 1 18
1998 1 19
1998 1 20
1998 1 21
1998 1 22
1998 1 23
1998 1 24
1998 1 25
1998 1 26
1998 1 27
1998 1 28
1998 1 29
1998 1 30
1998 1 31
1998 2 1
1998 2 2
1998 2 3
1998 2 4
1998 2 5
1998 2 6
1998 2 7
1998 2 8
1998 2 9
1998 2 10
1998 2 11
1998 2 12
1998 2 13
1998 2 14
1998 2 15
1998 2 16
1998 2 17
1998 2 18
1998 2 19
1998 2 20
1998 2 21
1998 2 22
1998 2 23
1998 2 24
1998 2 25
1998 2 26
1998 2 27
1998 2 28
1998 12 1
1998 12 2
1998 12 3
1998 12 4
1998 12 5
1998 12 6
1998 12 7
1998 12 8
1998 12 9
1998 12 10
1998 12 11
1998 12 12
1998 12 13
1998 12 14
1998 12 15
1998 12 16
1998 12 17
1998 12 18
1998 12 19
1998 12 20
1998 12 21
1998 12 22
1998 12 23
1998 12 24
1998 12 25
1998 12 26
1998 12 27
1998 12 28
1998 12 29
1998 12 30
1998 12 31
1999 1 1
1999 1 2
1999 1 3
1999 1 4
1999 1 5
1999 1 6
1999 1 7
1999 1 8
1999 1 9
1999 1 10
1999 1 11
1999 1 12
1999 1 13
1999 1 14
1999 1 15
1999 1 16
1999 1 17
1999 1 18
1999 1 19
1999 1 20
1999 1 21
1999 1 22
1999 1 23
1999 1 24
1999 1 25
1999 1 26
1999 1 27
1999 1 28
1999 1 29
1999 1 30
1999 1 31
1999 2 1
1999 2 2
1999 2 3
1999 2 4
1999 2 5
1999 2 6
1999 2 7
1999 2 8
1999 2 9
1999 2 10
1999 2 11
1999 2 12
1999 2 13
1999 2 14
1999 2 15
1999 2 16
1999 2 17
1999 2 18
1999 2 19
1999 2 20
1999 2 21
1999 2 22
1999 2 23
1999 2 24
1999 2 25
1999 2 26
1999 2 27
1999 2 28
1999 12 1
1999 12 2
1999 12 3
1999 12 4
1999 12 5
1999 12 6
1999 12 7
1999 12 8
1999 12 9
1999 12 10
1999 12 11
1999 12 12
1999 12 13
1999 12 14
1999 12 15
1999 12 16
1999 12 17
1999 12 18
1999 12 19
1999 12 20
1999 12 21
1999 12 22
1999 12 23
1999 12 24
1999 12 25
1999 12 26
1999 12 27
1999 12 28
1999 12 29
1999 12 30
1999 12 31
/media/disk2/out/MERRA/day/ctrack/corr/MERRA.corr.pr.psl.DJF.17145.bn
